region_id,Total_persons_2001_Census_Males,Total_persons_2001_Census_Females,Total_persons_2001_Census_Persons,Total_persons_2006_Census_Males,Total_persons_2006_Census_Females,Total_persons_2006_Census_Persons,Total_persons_2011_Census_Males,Total_persons_2011_Census_Females,Total_persons_2011_Census_Persons,Age_group_0_4_years_2001_Census_Males,Age_group_0_4_years_2001_Census_Females,Age_group_0_4_years_2001_Census_Persons,Age_group_0_4_years_2006_Census_Males,Age_group_0_4_years_2006_Census_Females,Age_group_0_4_years_2006_Census_Persons,Age_group_0_4_years_2011_Census_Males,Age_group_0_4_years_2011_Census_Females,Age_group_0_4_years_2011_Census_Persons,Age_group_5_14_years_2001_Census_Males,Age_group_5_14_years_2001_Census_Females,Age_group_5_14_years_2001_Census_Persons,Age_group_5_14_years_2006_Census_Males,Age_group_5_14_years_2006_Census_Females,Age_group_5_14_years_2006_Census_Persons,Age_group_5_14_years_2011_Census_Males,Age_group_5_14_years_2011_Census_Females,Age_group_5_14_years_2011_Census_Persons,Age_group_15_19_years_2001_Census_Males,Age_group_15_19_years_2001_Census_Females,Age_group_15_19_years_2001_Census_Persons,Age_group_15_19_years_2006_Census_Males,Age_group_15_19_years_2006_Census_Females,Age_group_15_19_years_2006_Census_Persons,Age_group_15_19_years_2011_Census_Males,Age_group_15_19_years_2011_Census_Females,Age_group_15_19_years_2011_Census_Persons,Age_group_20_24_years_2001_Census_Males,Age_group_20_24_years_2001_Census_Females,Age_group_20_24_years_2001_Census_Persons,Age_group_20_24_years_2006_Census_Males,Age_group_20_24_years_2006_Census_Females,Age_group_20_24_years_2006_Census_Persons,Age_group_20_24_years_2011_Census_Males,Age_group_20_24_years_2011_Census_Females,Age_group_20_24_years_2011_Census_Persons,Age_group_25_34_years_2001_Census_Males,Age_group_25_34_years_2001_Census_Females,Age_group_25_34_years_2001_Census_Persons,Age_group_25_34_years_2006_Census_Males,Age_group_25_34_years_2006_Census_Females,Age_group_25_34_years_2006_Census_Persons,Age_group_25_34_years_2011_Census_Males,Age_group_25_34_years_2011_Census_Females,Age_group_25_34_years_2011_Census_Persons,Age_group_35_44_years_2001_Census_Males,Age_group_35_44_years_2001_Census_Females,Age_group_35_44_years_2001_Census_Persons,Age_group_35_44_years_2006_Census_Males,Age_group_35_44_years_2006_Census_Females,Age_group_35_44_years_2006_Census_Persons,Age_group_35_44_years_2011_Census_Males,Age_group_35_44_years_2011_Census_Females,Age_group_35_44_years_2011_Census_Persons,Age_group_45_54_years_2001_Census_Males,Age_group_45_54_years_2001_Census_Females,Age_group_45_54_years_2001_Census_Persons,Age_group_45_54_years_2006_Census_Males,Age_group_45_54_years_2006_Census_Females,Age_group_45_54_years_2006_Census_Persons,Age_group_45_54_years_2011_Census_Males,Age_group_45_54_years_2011_Census_Females,Age_group_45_54_years_2011_Census_Persons,Age_group_55_64_years_2001_Census_Males,Age_group_55_64_years_2001_Census_Females,Age_group_55_64_years_2001_Census_Persons,Age_group_55_64_years_2006_Census_Males,Age_group_55_64_years_2006_Census_Females,Age_group_55_64_years_2006_Census_Persons,Age_group_55_64_years_2011_Census_Males,Age_group_55_64_years_2011_Census_Females,Age_group_55_64_years_2011_Census_Persons,Age_group_65_74_years_2001_Census_Males,Age_group_65_74_years_2001_Census_Females,Age_group_65_74_years_2001_Census_Persons,Age_group_65_74_years_2006_Census_Males,Age_group_65_74_years_2006_Census_Females,Age_group_65_74_years_2006_Census_Persons,Age_group_65_74_years_2011_Census_Males,Age_group_65_74_years_2011_Census_Females,Age_group_65_74_years_2011_Census_Persons,Age_group_75_84_years_2001_Census_Males,Age_group_75_84_years_2001_Census_Females,Age_group_75_84_years_2001_Census_Persons,Age_group_75_84_years_2006_Census_Males,Age_group_75_84_years_2006_Census_Females,Age_group_75_84_years_2006_Census_Persons,Age_group_75_84_years_2011_Census_Males,Age_group_75_84_years_2011_Census_Females,Age_group_75_84_years_2011_Census_Persons,Age_group_85_years_and_over_2001_Census_Males,Age_group_85_years_and_over_2001_Census_Females,Age_group_85_years_and_over_2001_Census_Persons,Age_group_85_years_and_over_2006_Census_Males,Age_group_85_years_and_over_2006_Census_Females,Age_group_85_years_and_over_2006_Census_Persons,Age_group_85_years_and_over_2011_Census_Males,Age_group_85_years_and_over_2011_Census_Females,Age_group_85_years_and_over_2011_Census_Persons,Overseas_visitors_2001_Census_Males,Overseas_visitors_2001_Census_Females,Overseas_visitors_2001_Census_Persons,Overseas_visitors_2006_Census_Males,Overseas_visitors_2006_Census_Females,Overseas_visitors_2006_Census_Persons,Overseas_visitors_2011_Census_Males,Overseas_visitors_2011_Census_Females,Overseas_visitors_2011_Census_Persons,Indigenous_persons_Aboriginal_2001_Census_Males,Indigenous_persons_Aboriginal_2001_Census_Females,Indigenous_persons_Aboriginal_2001_Census_Persons,Indigenous_persons_Aboriginal_2006_Census_Males,Indigenous_persons_Aboriginal_2006_Census_Females,Indigenous_persons_Aboriginal_2006_Census_Persons,Indigenous_persons_Aboriginal_2011_Census_Males,Indigenous_persons_Aboriginal_2011_Census_Females,Indigenous_persons_Aboriginal_2011_Census_Persons,Indigenous_persons_Torres_Strait_Islander_2001_Census_Males,Indigenous_persons_Torres_Strait_Islander_2001_Census_Females,Indigenous_persons_Torres_Strait_Islander_2001_Census_Persons,Indigenous_persons_Torres_Strait_Islander_2006_Census_Males,Indigenous_persons_Torres_Strait_Islander_2006_Census_Females,Indigenous_persons_Torres_Strait_Islander_2006_Census_Persons,Indigenous_persons_Torres_Strait_Islander_2011_Census_Males,Indigenous_persons_Torres_Strait_Islander_2011_Census_Females,Indigenous_persons_Torres_Strait_Islander_2011_Census_Persons,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2001_Census_Males,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2001_Census_Females,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2001_Census_Persons,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2006_Census_Males,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2006_Census_Females,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2006_Census_Persons,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2011_Census_Males,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2011_Census_Females,Indigenous_persons_Both_Aboriginal_and_Torres_Strait_Islander_2011_Census_Persons,Indigenous_persons_Total_2001_Census_Males,Indigenous_persons_Total_2001_Census_Females,Indigenous_persons_Total_2001_Census_Persons,Indigenous_persons_Total_2006_Census_Males,Indigenous_persons_Total_2006_Census_Females,Indigenous_persons_Total_2006_Census_Persons,Indigenous_persons_Total_2011_Census_Males,Indigenous_persons_Total_2011_Census_Females,Indigenous_persons_Total_2011_Census_Persons,Birthplace_Australia_2001_Census_Males,Birthplace_Australia_2001_Census_Females,Birthplace_Australia_2001_Census_Persons,Birthplace_Australia_2006_Census_Males,Birthplace_Australia_2006_Census_Females,Birthplace_Australia_2006_Census_Persons,Birthplace_Australia_2011_Census_Males,Birthplace_Australia_2011_Census_Females,Birthplace_Australia_2011_Census_Persons,Birthplace_Elsewhere_2001_Census_Males,Birthplace_Elsewhere_2001_Census_Females,Birthplace_Elsewhere_2001_Census_Persons,Birthplace_Elsewhere_2006_Census_Males,Birthplace_Elsewhere_2006_Census_Females,Birthplace_Elsewhere_2006_Census_Persons,Birthplace_Elsewhere_2011_Census_Males,Birthplace_Elsewhere_2011_Census_Females,Birthplace_Elsewhere_2011_Census_Persons,Language_spoken_at_home_English_only_2001_Census_Males,Language_spoken_at_home_English_only_2001_Census_Females,Language_spoken_at_home_English_only_2001_Census_Persons,Language_spoken_at_home_English_only_2006_Census_Males,Language_spoken_at_home_English_only_2006_Census_Females,Language_spoken_at_home_English_only_2006_Census_Persons,Language_spoken_at_home_English_only_2011_Census_Males,Language_spoken_at_home_English_only_2011_Census_Females,Language_spoken_at_home_English_only_2011_Census_Persons,Language_spoken_at_home_Other_language_2001_Census_Males,Language_spoken_at_home_Other_language_2001_Census_Females,Language_spoken_at_home_Other_language_2001_Census_Persons,Language_spoken_at_home_Other_language_2006_Census_Males,Language_spoken_at_home_Other_language_2006_Census_Females,Language_spoken_at_home_Other_language_2006_Census_Persons,Language_spoken_at_home_Other_language_2011_Census_Males,Language_spoken_at_home_Other_language_2011_Census_Females,Language_spoken_at_home_Other_language_2011_Census_Persons,Australian_citizen_2001_Census_Males,Australian_citizen_2001_Census_Females,Australian_citizen_2001_Census_Persons,Australian_citizen_2006_Census_Males,Australian_citizen_2006_Census_Females,Australian_citizen_2006_Census_Persons,Australian_citizen_2011_Census_Males,Australian_citizen_2011_Census_Females,Australian_citizen_2011_Census_Persons
10101,31219,30836,62055,32571,32081,64652,33469,33538,67007,2193,2021,4214,2031,1959,3990,2264,2144,4408,4910,4673,9583,4833,4635,9468,4701,4511,9212,2108,2058,4166,2206,2020,4226,2226,2044,4270,1766,1473,3239,1885,1578,3463,1654,1567,3221,3752,3689,7441,3693,3472,7165,3231,3375,6606,4646,4464,9110,4535,4599,9134,4478,4595,9073,4378,4278,8656,4657,4504,9161,4925,4671,9596,3490,3332,6822,4251,3994,8245,4593,4489,9082,2550,2490,5040,2697,2697,5394,3259,3169,6428,1171,1693,2864,1462,1894,3356,1681,2032,3713,255,665,920,321,729,1050,457,941,1398,75,87,162,95,84,179,77,90,167,530,461,991,698,578,1276,871,849,1720,32,25,57,33,44,77,23,29,52,14,10,24,10,16,26,13,9,22,576,496,1072,741,638,1379,907,887,1794,26836,26678,53514,28101,27842,55943,28909,29089,57998,2319,2189,4508,2568,2419,4987,2756,2704,5460,28275,28491,56766,29735,30032,59767,30314,31078,61392,770,691,1461,958,827,1785,1101,984,2085,28333,28436,56769,29637,29708,59345,30317,31014,61331
10102,22052,22111,44163,24889,24498,49387,27137,26827,53964,1658,1568,3226,1747,1641,3388,1874,1788,3662,3557,3515,7072,3821,3655,7476,3927,3905,7832,1578,1548,3126,1777,1674,3451,1839,1737,3576,1295,1287,2582,1482,1520,3002,1710,1602,3312,3011,3312,6323,3131,3281,6412,3449,3496,6945,3826,3781,7607,4170,4222,8392,4234,4354,8588,3363,3115,6478,3884,3605,7489,4348,4070,8418,2044,1896,3940,2788,2475,5263,3266,3029,6295,1115,1121,2236,1321,1279,2600,1614,1613,3227,501,715,1216,623,858,1481,717,841,1558,104,253,357,145,288,433,159,392,551,133,127,260,87,87,174,96,120,216,430,462,892,486,527,1013,671,678,1349,12,13,25,19,15,34,12,15,27,13,10,23,11,4,15,19,11,30,455,485,940,516,546,1062,702,704,1406,16842,17113,33955,18885,18807,37692,20747,20664,41411,3813,3674,7487,4037,3968,8005,4659,4649,9308,18435,18478,36913,20636,20557,41193,22565,22418,44983,2441,2483,4924,2547,2547,5094,3019,3084,6103,20018,20104,40122,22019,21910,43929,24025,23976,48001
10103,16203,13918,30121,16521,14313,30834,16404,14064,30468,775,752,1527,809,690,1499,802,749,1551,2551,2172,4723,2452,2154,4606,2319,1866,4185,1461,1146,2607,1512,1246,2758,1692,1250,2942,1482,1147,2629,1246,1012,2258,1179,951,2130,2577,2077,4654,2212,1856,4068,1824,1607,3431,2412,2174,4586,2362,2258,4620,2130,1982,4112,2035,1752,3787,2433,2030,4463,2371,2066,4437,1507,1290,2797,1916,1556,3472,2085,1715,3800,883,774,1657,1024,791,1815,1295,1093,2388,432,463,895,448,506,954,543,527,1070,88,171,259,108,213,321,162,258,420,282,272,554,269,270,539,275,228,503,117,87,204,150,132,282,231,183,414,5,0,5,11,9,20,9,14,23,5,3,8,4,3,7,7,6,13,127,90,217,165,144,309,247,203,450,12550,10848,23398,12241,10746,22987,12333,10754,23087,1969,1701,3670,1893,1682,3575,1830,1691,3521,13701,11892,25593,13290,11871,25161,13303,11826,25129,917,739,1656,828,696,1524,782,737,1519,14107,12081,26188,13513,11964,25477,13506,11868,25374
10104,31365,32296,63661,32508,33809,66317,33275,34525,67800,1793,1749,3542,1748,1643,3391,1850,1712,3562,4730,4559,9289,4397,4359,8756,4052,3893,7945,1969,1800,3769,2069,2003,4072,2089,1953,4042,1050,1034,2084,1179,1048,2227,1123,1099,2222,2735,2942,5677,2454,2646,5100,2302,2554,4856,4171,4653,8824,3839,4266,8105,3507,3807,7314,4605,4604,9209,5028,5391,10419,4774,5219,9993,4067,4158,8225,4993,5072,10065,5722,5891,11613,3725,3768,7493,3826,3799,7625,4555,4412,8967,2130,2342,4472,2394,2663,5057,2567,2743,5310,390,687,1077,581,919,1500,734,1240,1974,87,120,207,101,99,200,114,134,248,974,927,1901,1136,1126,2262,1296,1348,2644,19,17,36,26,24,50,25,27,52,28,30,58,16,23,39,16,21,37,1021,974,1995,1178,1173,2351,1337,1396,2733,25581,26507,52088,26698,27752,54450,27048,27976,55024,3863,3881,7744,4008,4245,8253,4189,4501,8690,28832,29662,58494,30237,31447,61684,30529,31657,62186,996,985,1981,1019,1114,2133,1048,1234,2282,28721,29506,58227,29826,31079,60905,30172,31359,61531
10201,75111,80368,155479,75499,81258,156757,77550,83720,161270,5098,5035,10133,4812,4575,9387,5038,4824,9862,11876,11139,23015,11089,10613,21702,10526,10208,20734,5402,4949,10351,5702,5294,10996,5618,5070,10688,3954,3893,7847,4200,4068,8268,4587,4296,8883,8832,9471,18303,7993,8452,16445,7948,8445,16393,11153,12180,23333,10202,11474,21676,9950,11004,20954,10161,10614,20775,10807,11554,22361,10906,12073,22979,7124,7503,14627,8620,9160,17780,9689,10570,20259,6004,7197,13201,5929,6905,12834,6971,7768,14739,4500,6352,10852,4730,6577,11307,4545,6114,10659,1007,2035,3042,1414,2589,4003,1773,3348,5121,245,373,618,266,422,688,235,315,550,1021,1017,2038,1249,1209,2458,1714,1677,3391,40,33,73,59,63,122,64,53,117,35,45,80,23,32,55,34,33,67,1096,1095,2191,1331,1304,2635,1812,1763,3575,59832,64433,124265,58436,63210,121646,60691,65620,126311,10795,11287,22082,11125,11604,22729,12288,13221,25509,68604,73340,141944,67397,72444,139841,69582,75006,144588,2886,3096,5982,3133,3530,6663,3945,4651,8596,67768,72494,140262,65940,71211,137151,68657,74595,143252
10202,62954,67075,130029,65921,71032,136953,71075,76284,147359,4706,4691,9397,4712,4381,9093,5110,4765,9875,10357,9728,20085,10368,10068,20436,10399,9964,20363,4289,4139,8428,4599,4450,9049,5258,5024,10282,3182,3204,6386,3563,3661,7224,4006,4070,8076,7648,8392,16040,7198,7976,15174,7487,8227,15714,8972,9580,18552,8891,9656,18547,9021,10034,19055,7709,8026,15735,8540,9084,17624,9333,10007,19340,5970,6562,12532,7021,7839,14860,8249,8996,17245,5774,6578,12352,5786,6602,12388,6618,7488,14106,3538,4676,8214,4174,5332,9506,4231,5299,9530,809,1499,2308,1069,1983,3052,1364,2409,3773,134,175,309,114,155,269,117,152,269,1196,1169,2365,1756,1823,3579,2547,2688,5235,66,54,120,79,71,150,75,76,151,34,38,72,34,25,59,46,53,99,1296,1261,2557,1869,1919,3788,2668,2817,5485,51656,55215,106871,53968,57885,111853,59039,63105,122144,7587,7998,15585,7841,8448,16289,8445,9298,17743,58036,61681,119717,60738,65184,125922,65364,69928,135292,2003,2172,4175,2247,2565,4812,2698,3210,5908,57196,60879,118075,59303,63740,123043,64202,69072,133274
10301,19924,19928,39852,20803,20489,41292,22222,21762,43984,1378,1282,2660,1395,1253,2648,1521,1464,2985,3086,3007,6093,3166,2850,6016,3334,2928,6262,1960,1932,3892,1970,1934,3904,1852,1780,3632,1598,1512,3110,1795,1718,3513,1944,1790,3734,2657,2519,5176,2536,2319,4855,2618,2354,4972,2864,2829,5693,2717,2707,5424,2738,2791,5529,2701,2585,5286,2793,2737,5530,2859,2839,5698,1794,1723,3517,2284,2234,4518,2602,2505,5107,1096,1254,2350,1237,1327,2564,1689,1674,3363,623,907,1530,732,992,1724,848,1117,1965,167,378,545,179,418,597,216,521,737,83,123,206,64,96,160,79,116,195,640,472,1112,764,514,1278,898,801,1699,16,16,32,24,20,44,22,25,47,14,22,36,7,18,25,19,25,44,670,510,1180,795,552,1347,939,851,1790,17061,17309,34370,18033,17865,35898,18932,18767,37699,1669,1515,3184,1751,1539,3290,2074,1733,3807,17714,18319,36033,18516,19096,37612,19624,20033,39657,631,584,1215,712,611,1323,835,715,1550,17652,18298,35950,18316,18839,37155,19544,19887,39431
10302,28680,28313,56993,27732,27672,55404,27273,27327,54600,2122,2061,4183,1915,1784,3699,1876,1826,3702,4744,4335,9079,4303,4117,8420,3885,3719,7604,1957,1793,3750,1833,1668,3501,1725,1660,3385,1349,1200,2549,1242,1249,2491,1362,1191,2553,3224,3234,6458,2851,2834,5685,2608,2706,5314,4067,3969,8036,3474,3628,7102,3095,3276,6371,3948,3631,7579,3966,3663,7629,3819,3639,7458,3151,3097,6248,3583,3367,6950,3843,3581,7424,2501,2483,4984,2651,2607,5258,2858,2844,5702,1288,1810,3098,1558,1934,3492,1736,1942,3678,329,700,1029,356,821,1177,466,943,1409,48,56,104,72,53,125,100,79,179,1487,1455,2942,1708,1805,3513,2085,2143,4228,33,23,56,48,38,86,41,37,78,44,27,71,28,26,54,23,18,41,1564,1505,3069,1784,1869,3653,2149,2198,4347,25912,25591,51503,24927,24986,49913,24240,24342,48582,1271,1260,2531,1231,1256,2487,1321,1372,2693,27157,26834,53991,26270,26445,52715,25405,25572,50977,384,385,769,436,396,832,508,526,1034,26965,26644,53609,25830,25966,51796,25096,25254,50350
10303,21458,20946,42404,21364,20817,42181,22220,21268,43488,1528,1387,2915,1330,1194,2524,1486,1365,2851,3408,3269,6677,3172,2895,6067,2977,2625,5602,1466,1338,2804,1457,1344,2801,1448,1312,2760,1031,962,1993,1008,895,1903,1165,1046,2211,2547,2544,5091,2160,2243,4403,2203,2117,4320,3220,3113,6333,2965,2978,5943,2890,2820,5710,3124,2842,5966,3133,2923,6056,3266,3040,6306,2517,2323,4840,3067,2772,5839,3037,2873,5910,1651,1639,3290,1870,1818,3688,2316,2169,4485,791,1143,1934,978,1252,2230,1156,1311,2467,175,386,561,224,503,727,275,591,866,35,39,74,39,58,97,41,68,109,572,455,1027,626,552,1178,941,829,1770,15,14,29,21,15,36,44,27,71,19,14,33,10,13,23,4,3,7,606,483,1089,657,580,1237,989,859,1848,18408,18037,36445,18172,17750,35922,18712,18176,36888,1729,1705,3434,1817,1729,3546,1902,1813,3715,19592,19400,38992,19453,19374,38827,19999,19617,39616,538,521,1059,541,531,1072,578,643,1221,19521,19331,38852,19197,19027,38224,19684,19406,39090
10304,24722,25123,49845,24425,25529,49954,27144,27561,54705,1973,1802,3775,1791,1740,3531,2207,1973,4180,4058,3886,7944,3945,3840,7785,4016,3938,7954,1947,1928,3875,1916,1791,3707,1896,1931,3827,1513,1325,2838,1406,1430,2836,1658,1609,3267,3243,3320,6563,2853,2960,5813,3218,3294,6512,3524,3633,7157,3315,3605,6920,3590,3660,7250,3364,3296,6660,3345,3418,6763,3650,3684,7334,2384,2301,4685,2742,2816,5558,3288,3188,6476,1684,1797,3481,1841,1919,3760,2083,2125,4208,835,1305,2140,1022,1436,2458,1214,1487,2701,197,530,727,248,575,823,324,672,996,46,73,119,41,29,70,78,75,153,761,758,1519,855,916,1771,1199,1232,2431,35,35,70,28,17,45,33,23,56,21,19,40,14,20,34,26,26,52,817,812,1629,897,953,1850,1258,1281,2539,21657,22157,43814,21272,22238,43510,23196,23778,46974,1745,1752,3497,1642,1796,3438,2147,2213,4360,23017,23408,46425,22650,23806,46456,24519,25175,49694,689,689,1378,679,753,1432,1068,1143,2211,23054,23496,46550,22366,23606,45972,24372,25130,49502
10401,23253,23440,46693,23823,24287,48110,24556,25287,49843,1479,1403,2882,1326,1259,2585,1483,1368,2851,3690,3513,7203,3510,3396,6906,3227,3151,6378,1544,1394,2938,1624,1429,3053,1646,1533,3179,921,819,1740,925,822,1747,1075,1010,2085,2201,2330,4531,1998,2145,4143,1846,2085,3931,3279,3451,6730,2898,3085,5983,2664,2935,5599,3305,3237,6542,3533,3673,7206,3468,3639,7107,2755,2795,5550,3457,3432,6889,3893,3888,7781,2500,2415,4915,2680,2560,5240,3105,3012,6117,1309,1548,2857,1528,1783,3311,1705,1844,3549,270,535,805,344,701,1045,444,822,1266,74,97,171,66,74,140,61,65,126,935,906,1841,1113,1073,2186,1351,1372,2723,19,17,36,25,25,50,38,36,74,22,30,52,27,21,48,24,28,52,976,953,1929,1165,1119,2284,1413,1436,2849,20695,20828,41523,20848,21287,42135,21502,22106,43608,1435,1484,2919,1618,1661,3279,1814,1906,3720,21819,22185,44004,22352,23068,45420,22912,23835,46747,321,334,655,339,389,728,461,509,970,21729,22056,43785,21908,22633,44541,22517,23486,46003
10402,37260,38657,75917,38741,40776,79517,40324,42599,82923,2428,2256,4684,2242,2127,4369,2502,2425,4927,5993,5853,11846,5916,5571,11487,5547,5221,10768,2769,2714,5483,2848,2806,5654,2814,2704,5518,1703,1612,3315,1919,1818,3737,1945,2033,3978,3633,4037,7670,3415,3852,7267,3681,4012,7693,5409,5908,11317,4960,5672,10632,4697,5332,10029,5605,5585,11190,5945,6347,12292,5658,6489,12147,4016,4109,8125,5082,5088,10170,6115,6048,12163,3436,3450,6886,3567,3804,7371,4179,4365,8544,1872,2342,4214,2240,2665,4905,2423,2665,5088,396,791,1187,609,1025,1634,762,1306,2068,231,263,494,211,265,476,251,315,566,1018,1049,2067,1230,1295,2525,1431,1589,3020,39,28,67,44,34,78,51,44,95,38,37,75,24,26,50,39,32,71,1095,1114,2209,1298,1355,2653,1521,1665,3186,31136,32357,63493,32003,33613,65616,32987,34803,67790,4034,4216,8250,4418,4841,9259,5065,5582,10647,34327,35536,69863,35489,37392,72881,36388,38469,74857,1285,1401,2686,1470,1667,3137,2042,2318,4360,34208,35365,69573,35072,37038,72110,36124,38331,74455
10501,16052,14102,30154,14579,12916,27495,13929,12593,26522,1329,1230,2559,1127,1032,2159,1008,1008,2016,2440,2359,4799,2083,1981,4064,1791,1725,3516,870,735,1605,792,703,1495,778,691,1469,899,800,1699,761,716,1477,794,739,1533,2302,2113,4415,1678,1613,3291,1484,1499,2983,2441,2053,4494,2074,1787,3861,1752,1607,3359,2219,1695,3914,2151,1804,3955,2095,1732,3827,1813,1456,3269,1973,1502,3475,1980,1559,3539,1241,988,2229,1276,1030,2306,1454,1195,2649,420,496,916,571,552,1123,666,632,1298,78,177,255,93,196,289,127,205,332,51,45,96,48,44,92,75,53,128,2925,2874,5799,3019,3132,6151,2970,3201,6171,21,15,36,27,24,51,14,28,42,64,64,128,60,44,104,19,22,41,3010,2953,5963,3106,3200,6306,3003,3251,6254,13839,12370,26209,12450,11275,23725,11656,10692,22348,964,774,1738,832,707,1539,850,777,1627,14504,13035,27539,13181,12005,25186,12265,11307,23572,464,312,776,377,279,656,413,360,773,14626,12967,27593,13054,11771,24825,12098,11109,23207
10502,12146,11951,24097,11093,11307,22400,11008,11101,22109,777,755,1532,717,646,1363,611,656,1267,1736,1569,3305,1474,1455,2929,1377,1240,2617,823,699,1522,703,671,1374,654,618,1272,623,558,1181,591,569,1160,657,633,1290,1484,1463,2947,1136,1174,2310,1190,1160,2350,1813,1770,3583,1451,1468,2919,1277,1259,2536,1814,1628,3442,1752,1675,3427,1654,1639,3293,1339,1290,2629,1501,1408,2909,1677,1540,3217,1128,1168,2296,999,1077,2076,1106,1142,2248,507,738,1245,652,816,1468,644,867,1511,102,313,415,117,348,465,161,346,507,58,46,104,38,45,83,59,41,100,909,914,1823,925,954,1879,1016,1142,2158,11,8,19,9,9,18,11,11,22,18,9,27,13,8,21,14,9,23,938,931,1869,947,971,1918,1041,1162,2203,10667,10535,21202,9684,9736,19420,9598,9734,19332,543,531,1074,539,551,1090,575,562,1137,11076,10933,22009,10164,10322,20486,9923,10146,20069,232,226,458,183,245,428,281,266,547,11190,11077,22267,9995,10208,20203,9851,10079,19930
10503,32738,34107,66845,32293,33678,65971,33170,34199,67369,2608,2553,5161,2426,2303,4729,2666,2430,5096,5727,5416,11143,5474,5186,10660,4983,4692,9675,2386,2342,4728,2364,2196,4560,2418,2175,4593,1720,1777,3497,1693,1853,3546,1813,1877,3690,3876,4318,8194,3400,3827,7227,3431,3864,7295,4670,4962,9632,4144,4581,8725,3979,4304,8283,4390,4442,8832,4438,4610,9048,4518,4698,9216,3443,3360,6803,3791,3731,7522,4192,4191,8383,2469,2595,5064,2686,2752,5438,3080,3068,6148,1196,1698,2894,1537,1909,3446,1654,2015,3669,253,644,897,340,730,1070,436,886,1322,67,94,161,62,70,132,77,81,158,3005,3175,6180,3466,3658,7124,4478,4565,9043,49,61,110,67,81,148,54,67,121,79,91,170,74,53,127,68,68,136,3133,3327,6460,3607,3792,7399,4600,4700,9300,29146,30485,59631,28202,29657,57859,29355,30505,59860,1604,1624,3228,1638,1613,3251,1808,1845,3653,30548,31830,62378,29762,31282,61044,30232,31806,62038,597,581,1178,683,638,1321,816,876,1692,30446,31750,62196,29361,30863,60224,29947,31540,61487
10601,36986,36752,73738,38330,38102,76432,41473,40748,82221,2721,2610,5331,2685,2523,5208,3082,2853,5935,5965,5754,11719,6105,5831,11936,5836,5644,11480,2799,2571,5370,2843,2603,5446,3077,2767,5844,2250,1896,4146,2286,2006,4292,2606,2377,4983,4893,4810,9703,4688,4534,9222,5202,4881,10083,5707,5570,11277,5441,5471,10912,5641,5628,11269,5368,5029,10397,5516,5453,10969,5741,5659,11400,3482,3294,6776,4577,4283,8860,5238,5082,10320,2324,2586,4910,2467,2550,5017,3131,3005,6136,1225,1898,3123,1397,2047,3444,1503,1968,3471,252,734,986,323,802,1125,415,884,1299,118,135,253,105,109,214,120,132,252,860,838,1698,1114,1082,2196,1695,1681,3376,33,37,70,46,56,102,51,51,102,34,26,60,23,22,45,44,49,93,927,901,1828,1183,1160,2343,1790,1781,3571,32262,32200,64462,33520,33261,66781,36277,35721,71998,2342,2352,4694,2513,2523,5036,2875,2851,5726,34103,34323,68426,35669,35892,71561,38292,38215,76507,543,560,1103,625,668,1293,830,817,1647,33692,33934,67626,34794,35063,69857,37486,37410,74896
10602,24582,25562,50144,28154,29592,57746,31293,32592,63885,1981,1853,3834,2172,2121,4293,2461,2359,4820,4063,3902,7965,4538,4380,8918,4751,4479,9230,2036,1894,3930,2142,2089,4231,2286,2275,4561,1591,1552,3143,1821,1804,3625,2043,1966,4009,3204,3482,6686,3724,3906,7630,4083,4191,8274,3675,3943,7618,3933,4259,8192,4378,4718,9096,3462,3450,6912,3906,4080,7986,4164,4404,8568,2119,2125,4244,2958,2999,5957,3526,3669,7195,1437,1678,3115,1639,1902,3541,2131,2254,4385,846,1243,2089,1063,1508,2571,1143,1555,2698,168,440,608,258,544,802,326,722,1048,35,48,83,44,56,100,48,48,96,469,521,990,614,716,1330,977,1072,2049,22,17,39,32,18,50,37,22,59,12,16,28,13,23,36,15,22,37,503,554,1057,659,757,1416,1029,1116,2145,21770,22813,44583,24653,25887,50540,27413,28693,56106,1694,1686,3380,1970,2058,4028,2435,2505,4940,23278,24112,47390,26410,27649,54059,29175,30409,59584,526,624,1150,655,775,1430,939,1085,2024,23237,24225,47462,26013,27414,53427,28953,30237,59190
